name,address,city,state,zip,lat,lon,category
Ulta Beauty,1030 Hanes Mall Boulevard,Winston-Salem,NC,27103,36.0687886,-80.3188326,beauty
Ulta Beauty,916 Loganville Highway,Bethlehem,GA,30620,33.9423304,-83.7482327,beauty
Merle Norman,501 North Main Street,Anderson,SC,29625,34.5074598,-82.6513441,cosmetics
Ulta Beauty,103 Commons Drive,Greenwood,SC,29649,34.204222,-82.1903308,beauty
Merle Norman,117 West Main Street,Lake City,SC,29560,33.8731044,-79.7552564,cosmetics
Bath & Body Works,8399 Brier Creek Parkway,,NC,,35.9066278,-78.7834724,cosmetics
Bath & Body Works,,,NC,,34.1543359,-84.1769187,cosmetics
Ulta Beauty,1288 Broad Street,Sumter,SC,29150,33.9551886,-80.3884579,beauty
Ulta Beauty,7796 Charlotte Highway,Indian Land,SC,29707,34.9392979,-80.8349581,beauty
Sally Beauty,,,NC,,33.9649871,-80.9411982,hairdresser_supply
Ulta Beauty,1180 Blowing Rock Road,Boone,NC,28607,36.202038,-81.6674943,cosmetics
Bath & Body Works,1180 Blowing Rock Road,Boone,NC,28607,36.2015224,-81.6677652,cosmetics
Ulta Beauty,1844 Catawba Valley Boulevard Southeast,Hickory,NC,28602,35.7022616,-81.3089435,cosmetics
Nile Beauty Supply,,,NC,,34.7332118,-80.7950034,beauty
Pout,,,NC,,33.9978828,-81.0036852,cosmetics
Sally Beauty,,,NC,,35.8226374,-84.2658174,hairdresser_supply
Ulta Beauty,C126 Morganton Heights Boulevard,Morganton,NC,28655,35.7264037,-81.6998742,cosmetics
